time,raw_data,filtered_data
11:04:06.404440,-2006.29860162735,-14.456236146153023
11:04:06.408346,-2109.1344952583313,-103.15661128351447
11:04:06.412252,-2076.888382434845,-350.1564990291776
11:04:06.416158,-1951.2298703193665,-768.9223387004013
11:04:06.420065,-1899.5645642280579,-1253.669687722847
11:04:06.426227,-1997.4532723426819,-1644.679704389403
11:04:06.432389,-2116.871178150177,-1828.9774515768192
11:04:06.438551,-2107.9066395759583,-1792.8962829195677
11:04:06.444713,-1983.8157296180725,-1607.6500385761362
11:04:06.450875,-1910.8417630195618,-1373.4707724105185
11:04:06.454124,-1991.1053776741028,-1166.1127578628634
11:04:06.457373,-2116.7221665382385,-1016.0176028460854
11:04:06.460622,-2122.4382519721985,-919.010507279884
11:04:06.463871,-1911.4378094673157,-855.6889513441054
11:04:06.467120,-1960.8977437019348,-803.1077101595198
11:04:06.472505,-2089.649736881256,-742.8559577192449
11:04:06.477890,-2127.021849155426,-669.09448533686
11:04:06.483275,-2022.8686928749087,-586.96689538579
11:04:06.488660,-1914.5610928535461,-501.8701164819172
11:04:06.494046,-1945.0071454048157,-414.67779429460404
11:04:06.497261,-2075.261175632477,-327.330307757725
11:04:06.500476,-2126.4734864234924,-247.11373506777628
11:04:06.503691,-2033.6034893989563,-181.04454512307382
11:04:06.506906,-1922.2977757453918,-127.27311289975783
11:04:06.510122,-2051.919996738434,-76.78673788133028
11:04:06.513239,-2130.4014325141907,-25.29443228772535
11:04:06.516356,-2059.6149563789368,22.460664589856393
11:04:06.519473,-1933.3425164222717,64.58050118411136
11:04:06.522590,-1918.9301133155823,110.82574574060027
11:04:06.525709,-2038.5625958442688,171.17305133718395
11:04:06.531816,-2134.198248386383,239.1385392999855
11:04:06.537923,-1946.1038708686829,296.1671662829352
11:04:06.544030,-1905.4535031318665,334.6902342140862
11:04:06.550137,-2002.8117299079897,366.93286665574004
11:04:06.556246,-2087.426483631134,405.0616789075956
11:04:06.561027,-1957.9115509986877,444.017776892224
11:04:06.565808,-1894.6591019630432,473.6145028659688
11:04:06.570589,-1984.9005341529848,497.23225213689386
11:04:06.575370,-2106.1602234840393,525.4717246469017
11:04:06.580151,-2096.933424472809,556.5505720968825
11:04:06.584124,-1971.4298844337466,576.2851395817848
11:04:06.588097,-1891.4762139320374,578.9219380654705
11:04:06.592070,-1963.174641132355,578.529730598333
11:04:06.596043,-2089.679539203644,593.6518710349509
11:04:06.600018,-2106.1602234840393,624.560274780506
11:04:06.606000,-1991.2543892860413,652.8110553031854
11:04:06.611982,-1941.0017132759094,663.4791720965073
11:04:06.617964,-2071.559727191925,660.6509056765656
11:04:06.623946,-2113.408148288727,657.7101223416065
11:04:06.629929,-2009.4338059425354,660.2691778143294
11:04:06.631974,-1901.2156128883362,665.9647076205832
11:04:06.634019,-1928.8185238838196,675.13178120202
11:04:06.636064,-2055.955231189728,691.8053912732306
11:04:06.638109,-2119.0109848976135,714.0881788916051
11:04:06.640156,-2029.5920968055725,730.6913276291338
11:04:06.644092,-1906.2283635139465,731.5366455401168
11:04:06.648028,-1907.7721238136292,719.7936820567322
11:04:06.651964,-2031.410038471222,709.1626564301529
11:04:06.655900,-2112.084925174713,708.7275131314772
11:04:06.659837,-2045.4469323158264,713.7667358251456
11:04:06.661833,-1920.5930829048157,713.3014058426091
11:04:06.663829,-1900.7685780525208,704.0845041500784
11:04:06.665825,-2020.0136303901672,693.4339294690326
11:04:06.667821,-2121.293842792511,688.360335429159
11:04:06.669819,-2076.8168568611145,685.9192142033037
11:04:06.673888,-1950.6636261940002,677.3361414658685
11:04:06.677957,-1908.910572528839,659.9769967718081
11:04:06.682026,-2012.8312706947327,641.2234503290026
11:04:06.686095,-2125.8774399757385,629.3278209455391
11:04:06.690164,-2099.579870700836,623.3026623551914
11:04:06.696110,-1970.7801938056946,614.8510540307201
11:04:06.702056,-1900.661289691925,599.4929313232429
11:04:06.708002,-1983.3269715309143,582.3476305870685
11:04:06.713948,-2109.033167362213,571.2933820724397
11:04:06.719896,-2108.96760225296,566.5415664916908
11:04:06.723940,-1984.685957431793,560.1510081567565
11:04:06.727984,-1899.8387455940247,545.9843702737145
11:04:06.732028,-1964.9508595466614,527.1086360215494
11:04:06.736072,-2092.588245868683,511.35056815470324
11:04:06.740114,-2116.5254712104797,501.20903443438107
11:04:06.745099,-2008.1344246864319,491.109840350908
11:04:06.750084,-1907.1343541145325,475.0190234339586
11:04:06.755069,-1946.5747475624084,454.2954653575333
11:04:06.760054,-2079.761326313019,435.82143267830213
11:04:06.765038,-2124.6495842933655,423.0808338602702
11:04:06.768253,-2027.3807644844055,411.85234755256045
11:04:06.771468,-1917.666494846344,395.9417641027593
11:04:06.774683,-1934.8803162574768,375.1986297450016
11:04:06.777898,-2061.218321323395,355.5019009824842
11:04:06.781113,-2128.75634431839,341.08819149883794
11:04:06.783693,-2045.1489090919495,329.2549729903743
11:04:06.786273,-1919.877827167511,314.18685094028285
11:04:06.788853,-1914.924681186676,294.74963056739364
11:04:06.791433,-2038.7473702430723,275.9584844906399
11:04:06.794011,-2123.6303448677063,262.2649799191067
